# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
332.287719	1.035153	0.7938
332.288822	1.122982	0.5060
332.293993	1.068516	0.0000
332.295801	1.059823	0.0000
332.298595	1.039478	0.7654
332.297859	1.116278	3.4549
332.298447	1.116094	1.2140
332.299817	1.126961	0.9330
331.424166	1.039045	0.5879
331.424923	1.081394	0.5073
331.424463	1.142532	0.6283
331.427794	1.066162	0.7908
331.429052	1.042487	0.6404
331.429891	1.085643	0.0000
331.432187	1.062169	0.7920
331.432076	1.145931	0.7930
331.433602	1.071176	1.1496
331.435300	1.052552	0.6868
331.435809	1.131595	0.8662
331.438241	1.079006	0.5060
331.438808	1.136340	0.6716
331.440530	1.064012	0.5352
331.439960	1.130000	0.5172
331.442682	1.092070	0.6724
331.442319	1.130516	0.6728
331.445462	1.052660	0.7175
331.444283	1.145522	0.6701
331.448776	1.052132	0.7189
331.448317	1.116632	0.8640
331.452557	1.147616	0.7051
331.455351	1.031159	0.0000
331.454594	1.082654	0.5889
331.454206	1.142640	0.5990
331.456544	1.036941	0.9084
331.456743	1.085143	0.4490
331.457895	1.084848	0.7272
331.459783	1.050103	0.8659
331.463260	1.062749	0.5530
331.463243	1.161708	0.4964
331.465529	1.066421	0.7994
331.467265	1.039691	0.5952
331.470618	1.110597	0.8970
331.470887	1.160344	0.9159
331.476300	1.093468	0.5567
331.479325	1.038945	0.0000
331.479687	1.119587	0.6741
331.480136	1.158351	0.7723
331.482576	1.038599	0.6717
331.481783	1.123164	0.0000
331.485819	1.031162	0.5165
331.486840	1.082248	0.6733
331.489025	1.126033	0.5904
331.490661	1.158437	0.6109
331.492975	1.086236	0.2663
331.492457	1.129115	0.6836
331.494124	1.095001	0.4979
331.498369	1.056910	0.6073
331.503421	1.047585	0.9646
331.503055	1.139926	0.4544
331.504340	1.161818	0.6750
331.506873	1.156594	0.5587
331.513354	1.116611	0.9588
331.517372	1.060278	0.7159
331.516864	1.160233	0.5601
331.518961	1.073206	0.7040
331.518316	1.161069	0.5585
331.520441	1.077414	0.5999
331.521646	1.136560	0.9533
331.524890	1.133971	0.6434
331.533078	1.097899	0.5568
331.280495	1.096399	0.0000
331.280537	1.159299	0.7274
331.282153	1.042078	0.7932
331.282581	1.148296	0.7254
331.285832	1.079158	0.7183
331.288121	1.039772	0.9194
331.288394	1.144276	0.6870
331.288659	1.035174	0.7646
331.290759	1.077630	0.5584
331.291861	1.142898	0.6376
331.295815	1.049184	0.7450
331.295989	1.100356	0.6228
331.297051	1.095563	0.0000
331.299259	1.095880	0.9079
331.301004	1.043073	0.5829
331.301007	1.088560	0.0000
331.303364	1.051463	0.5813
331.303569	1.100912	0.7286
331.304690	1.038281	0.8451
331.305092	1.075928	0.6811
331.305157	1.130043	0.4943
331.306917	1.085851	0.7442
331.306913	1.139573	0.7025
331.308312	1.043488	0.9098
331.316450	1.109917	0.7180
331.317771	1.097725	0.7951
331.322474	1.055633	0.9057
331.322718	1.148365	0.5313
331.325770	1.091453	0.6398
331.324393	1.128647	1.3139
331.328492	1.158661	0.0000
331.331347	1.033007	0.9072
331.332278	1.157849	0.7012
331.333731	1.043839	0.9081
331.334738	1.156165	0.6995
331.336705	1.053272	0.0000
331.335986	1.117482	0.8971
331.336898	1.154948	0.6974
331.338609	1.033255	0.5579
331.338360	1.084965	0.6810
331.338456	1.132601	0.6474
331.340462	1.091406	0.7173
331.341927	1.091498	1.0815
331.342388	1.159021	0.7000
331.342725	1.050239	0.0000
331.344567	1.049737	0.0000
331.344721	1.104992	0.7302
331.346195	1.115217	0.6478
331.347893	1.059123	0.8436
331.349041	1.158522	0.6976
331.350709	1.086362	0.7872
331.352545	1.084268	0.0000
331.352748	1.135297	0.6738
331.357344	1.051765	0.5706
331.358310	1.098000	0.7431
331.358425	1.141421	0.5703
331.359655	1.083496	0.5205
331.363948	1.043897	0.5726
331.364143	1.083824	0.6819
331.363530	1.126138	0.7121
331.366867	1.077404	0.6850
331.369460	1.121120	0.6564
331.370948	1.044278	0.8442
331.371113	1.156605	0.6218
331.372433	1.047956	0.7190
331.376673	1.048102	0.6838
331.375978	1.102917	0.7929
331.378427	1.043792	0.5562
331.379190	1.081492	0.5120
331.380518	1.045678	0.9433
331.381689	1.045938	0.6650
331.383128	1.049276	0.7165
331.385034	1.065137	0.5572
331.385137	1.120642	0.6713
331.385778	1.120611	0.0000
331.385304	1.160928	0.5649
331.387889	1.046510	0.7164
331.387624	1.126478	0.6433
331.389559	1.080230	0.5653
331.273185	0.922978	0.8176
331.273011	0.963661	0.5550
331.278743	0.983573	0.7896
331.280776	0.891934	0.5600
331.280454	0.939046	0.5587
331.279989	0.978391	0.0000
331.281547	0.982490	0.5564
331.284303	0.922312	0.5554
331.284015	0.974135	0.5740
331.287124	0.966071	0.5693
331.289231	0.954934	0.8018
331.290458	0.967780	0.5694
331.292008	0.894814	0.0000
331.292151	0.963363	0.6255
331.293229	0.981807	0.5750
331.294506	0.981553	0.5756
331.296254	0.973433	0.5753
331.297877	0.893468	1.0805
331.300214	0.905303	0.0000
331.302531	0.877123	1.0910
331.302381	0.934324	0.8195
331.303393	0.977759	0.6272
331.307410	0.969389	0.5656
331.312781	0.905867	0.5615
331.313019	0.944930	0.5183
331.311143	0.987117	0.5641
331.315862	0.900707	0.7894
331.315671	0.940258	0.9197
331.316857	0.952785	0.5774
331.318751	0.883703	0.6360
331.320468	0.868249	1.1868
331.320088	0.957592	0.7027
331.321772	0.918339	0.5776
331.321623	0.986528	0.5642
331.323578	0.932221	0.5829
331.323834	0.989364	0.7636
331.325673	0.931541	0.8563
331.331501	0.871837	0.7200
331.329228	0.981445	0.9181
331.333545	0.892082	0.5751
331.335191	0.880058	0.6373
331.335453	0.933619	0.6361
331.338880	0.876182	0.7235
331.338395	0.984049	0.3185
331.340803	0.938729	0.6640
331.342781	0.908660	0.7858
331.342643	0.954727	0.8354
331.345474	0.898944	0.6637
331.347227	0.964440	0.7860
331.351912	0.883390	0.9216
331.356118	0.906135	0.5758
331.355270	0.945080	0.6831
331.360347	0.938179	0.9201
331.360746	0.978271	0.4791
331.362684	0.872827	0.6418
331.362666	0.945456	0.5716
331.364374	0.921498	0.4980
331.366063	0.867507	0.9259
331.367325	0.905940	0.0000
331.366307	0.984942	0.5680
331.367415	0.984716	1.2129
331.371998	0.918091	0.5676
331.372655	0.965074	0.5241
331.374851	0.981070	0.5900
331.376845	0.868435	0.9649
331.376488	0.946762	0.8654
331.378070	0.868812	0.5682
331.378918	0.952805	0.4974
331.380636	0.983551	0.5739
331.382267	0.947644	0.4790
331.388659	0.907561	0.6280
331.423668	0.975854	0.6146
331.425385	0.923760	0.5536
331.427002	0.903488	0.4708
331.428339	0.979496	0.5680
331.429524	0.873396	0.9076
